provider,tenure,interest_rate,amount,senior_citizen,source_name,source_url,rate_min,rate_max
RBL Bank,The interest rates offered by some of the top banks in India for fixed deposits having tenure between seven days up to 10 years are as listed below:,3.50% - 7.40%,50000.0,No,BankBazaar,https://www.bankbazaar.com/fixed-deposit-rate.html,3.5,7.4
Bandhan Bank,The interest rates offered by some of the top banks in India for fixed deposits having tenure between seven days up to 10 years are as listed below:,2.95% - 7.20%,50000.0,No,BankBazaar,https://www.bankbazaar.com/fixed-deposit-rate.html,2.95,7.2
YES Bank,The interest rates offered by some of the top banks in India for fixed deposits having tenure between seven days up to 10 years are as listed below:,3.25% - 6.92%,50000.0,No,BankBazaar,https://www.bankbazaar.com/fixed-deposit-rate.html,3.25,6.92
IndusInd Bank,The interest rates offered by some of the top banks in India for fixed deposits having tenure between seven days up to 10 years are as listed below:,3.25% - 6.66%,50000.0,No,BankBazaar,https://www.bankbazaar.com/fixed-deposit-rate.html,3.25,6.66
Tamilnad Mercantile Bank,The interest rates offered by some of the top banks in India for fixed deposits having tenure between seven days up to 10 years are as listed below:,4.00% - 6.60%,50000.0,No,BankBazaar,https://www.bankbazaar.com/fixed-deposit-rate.html,4.0,6.6
ICICI Bank,The interest rates offered by some of the top banks in India for fixed deposits having tenure between seven days up to 10 years are as listed below:,2.75% - 6.50%,50000.0,No,BankBazaar,https://www.bankbazaar.com/fixed-deposit-rate.html,2.75,6.5
Axis Bank,The interest rates offered by some of the top banks in India for fixed deposits having tenure between seven days up to 10 years are as listed below:,3.00% - 6.45%,50000.0,No,BankBazaar,https://www.bankbazaar.com/fixed-deposit-rate.html,3.0,6.45
Punjab National Bank,The interest rates offered by some of the top banks in India for fixed deposits having tenure between seven days up to 10 years are as listed below:,3.00% - 6.40% 6.00%,50000.0,No,BankBazaar,https://www.bankbazaar.com/fixed-deposit-rate.html,3.0,6.4
Kotak Mahindra Bank,The interest rates offered by some of the top banks in India for fixed deposits having tenure between seven days up to 10 years are as listed below:,2.75% - 6.25%,50000.0,No,BankBazaar,https://www.bankbazaar.com/fixed-deposit-rate.html,2.75,6.25
HDFC Bank,The interest rates offered by some of the top banks in India for fixed deposits having tenure between seven days up to 10 years are as listed below:,2.75% - 6.15%,50000.0,No,BankBazaar,https://www.bankbazaar.com/fixed-deposit-rate.html,2.75,6.15
